video_time_s,main_2300_2700_hz,chirp_2880_3060_hz
0.027000,0.000000000,0.000000000
0.029000,0.000000000,0.000000000
0.031000,0.000000000,0.000000000
0.033000,0.000000000,0.000000000
0.035000,0.000000000,0.000000000
0.037000,0.000000000,0.000000000
0.039000,0.000000000,0.000000000
0.041000,0.000000000,0.000000000
0.043000,0.000000000,0.000000000
0.045000,0.000000000,0.000000000
0.047000,0.000000000,0.000000000
0.049000,0.000000000,0.000000000
0.051000,0.000000000,0.000000000
0.053000,0.000000000,0.000000000
0.055000,0.000000000,0.000000001
0.057000,0.000000000,0.000000001
0.059000,0.000000000,0.000000001
0.061000,0.000000000,0.000000002
0.063000,0.000000000,0.000000002
0.065000,0.000000000,0.000000004
0.067000,0.000000000,0.000000009
0.069000,0.000000000,0.000000009
0.071000,0.000000000,0.000000014
0.073000,0.000000000,0.000000033
0.075000,0.000000000,0.000000031
0.077000,0.000000000,0.000000052
0.079000,0.000000000,0.000000117
0.081000,0.000000000,0.000000111
0.083000,0.000000001,0.000000176
0.085000,0.000000002,0.000000426
0.087000,0.000000006,0.000000396
0.089000,0.000000015,0.000000641
0.091000,0.000000030,0.000001557
0.093000,0.000000075,0.000001396
0.095000,0.000000231,0.000002249
0.097000,0.000000560,0.000005487
0.099000,0.000001058,0.000005008
0.101000,0.000003032,0.000007942
0.103000,0.000009994,0.000020152
0.105000,0.000022224,0.000016676
0.107000,0.000041059,0.000041284
0.109000,0.000126208,0.000113906
0.111000,0.001033557,0.000161806
0.113000,0.002599085,0.000143813
0.115000,0.003228806,0.000082115
0.117000,0.003644613,0.000042139
0.119000,0.003740499,0.000045768
0.121000,0.003774653,0.000039330
0.123000,0.004160185,0.000041665
0.125000,0.004695134,0.000084167
0.127000,0.005114477,0.000144191
0.129000,0.005170968,0.000206325
0.131000,0.004721190,0.000235385
0.133000,0.005198027,0.000200176
0.135000,0.005867856,0.000113971
0.137000,0.006115372,0.000029681
0.139000,0.005919691,0.000022886
0.141000,0.006515590,0.000017331
0.143000,0.007970620,0.000067483
0.145000,0.008983135,0.000112776
0.147000,0.008779188,0.000115707
0.149000,0.007528821,0.000102297
0.151000,0.005932626,0.000105019
0.153000,0.003484753,0.000111875
0.155000,0.002509494,0.000113540
0.157000,0.002825735,0.000105988
0.159000,0.003347794,0.000092697
0.161000,0.003204949,0.000102876
0.163000,0.002727389,0.000106360
0.165000,0.002421294,0.000068705
0.167000,0.002819568,0.000041265
0.169000,0.003039773,0.000085066
0.171000,0.002610133,0.000112364
0.173000,0.002108695,0.000109412
0.175000,0.001941467,0.000078404
0.177000,0.001686612,0.000056472
0.179000,0.001266887,0.000128267
0.181000,0.000715845,0.000192739
0.183000,0.001165280,0.000174944
0.185000,0.001904503,0.000071734
0.187000,0.002092414,0.000074757
0.189000,0.002324828,0.000105209
0.191000,0.002028524,0.000061024
0.193000,0.000946935,0.000085505
0.195000,0.000815968,0.000117713
0.197000,0.001797088,0.000194025
0.199000,0.004507549,0.000296475
0.201000,0.007513164,0.000300608
0.203000,0.010369809,0.000181308
0.205000,0.010644306,0.000062642
0.207000,0.010260704,0.000123356
0.209000,0.009212428,0.000141446
0.211000,0.010133496,0.000163051
0.213000,0.011728954,0.000162336
0.215000,0.011127696,0.000138546
0.217000,0.010179082,0.000149775
0.219000,0.009891094,0.000155801
0.221000,0.010044920,0.000152360
0.223000,0.009581917,0.000148015
0.225000,0.008646252,0.000146810
0.227000,0.008949720,0.000137712
0.229000,0.010399849,0.000117675
0.231000,0.011827467,0.000095677
0.233000,0.013065592,0.000069691
0.235000,0.013459018,0.000048627
0.237000,0.013687969,0.000028401
0.239000,0.014034696,0.000012449
0.241000,0.014656416,0.000007963
0.243000,0.015444353,0.000014525
0.245000,0.015403463,0.000032205
0.247000,0.016598344,0.000056377
0.249000,0.016104363,0.000088227
0.251000,0.015340907,0.000138882
0.253000,0.016736237,0.000195954
0.255000,0.017212637,0.000235826
0.257000,0.017011120,0.000267489
0.259000,0.017848498,0.000268059
0.261000,0.018734377,0.000216439
0.263000,0.019904877,0.000155095
0.265000,0.020420706,0.000139575
0.267000,0.020767217,0.000262548
0.269000,0.022667500,0.000423708
0.271000,0.021782150,0.000496880
0.273000,0.020037547,0.000415728
0.275000,0.021018834,0.000244775
0.277000,0.021378152,0.000234730
0.279000,0.021090622,0.000368069
0.281000,0.020859084,0.000403423
0.283000,0.020582460,0.000317367
0.285000,0.021104355,0.000238273
0.287000,0.021198810,0.000439251
0.289000,0.018259371,0.000698762
0.291000,0.012907575,0.000801998
0.293000,0.006162627,0.000717304
0.295000,0.003175957,0.000511327
0.297000,0.003458572,0.000275023
0.299000,0.005112308,0.000111953
0.301000,0.006279472,0.000061188
0.303000,0.003714004,0.000039674
0.305000,0.001597954,0.000026712
0.307000,0.001729204,0.000034590
0.309000,0.004111860,0.000052940
0.311000,0.005184732,0.000072406
0.313000,0.004774622,0.000090400
0.315000,0.004267060,0.000115182
0.317000,0.003969495,0.000141148
0.319000,0.003060427,0.000167026
0.321000,0.002508359,0.000190685
0.323000,0.003336150,0.000198475
0.325000,0.004040540,0.000170492
0.327000,0.004586014,0.000094588
0.329000,0.004829491,0.000073872
0.331000,0.004374794,0.000194469
0.333000,0.003470782,0.000250891
